record_id,item_id,cargo_id,item_weight,timestamp
36,Item_4,Cargo_3,27,2022-07-01 00:02:59
37,Item_1,Cargo_1,32,2022-07-01 00:03:07
38,Item_4,Cargo_3,27,2022-07-01 00:03:09
39,Item_2,Cargo_8,89,2022-07-01 00:03:13
40,Item_5,Cargo_1,59,2022-07-01 00:03:20
41,Item_2,Cargo_8,89,2022-07-01 00:03:25
42,Item_5,Cargo_4,59,2022-07-01 00:03:30
43,Item_5,Cargo_0,59,2022-07-01 00:03:33
44,Item_5,Cargo_1,59,2022-07-01 00:03:43
45,Item_4,Cargo_3,27,2022-07-01 00:03:52
46,Item_4,Cargo_3,27,2022-07-01 00:04:00
47,Item_5,Cargo_1,59,2022-07-01 00:04:07
48,Item_4,Cargo_6,27,2022-07-01 00:04:09
49,Item_5,Cargo_4,59,2022-07-01 00:04:15
50,Item_5,Cargo_0,59,2022-07-01 00:04:25
51,Item_5,Cargo_2,59,2022-07-01 00:04:29
52,Item_4,Cargo_6,27,2022-07-01 00:04:31
53,Item_5,Cargo_0,59,2022-07-01 00:04:39
54,Item_5,Cargo_1,59,2022-07-01 00:04:44
55,Item_2,Cargo_4,89,2022-07-01 00:04:46
56,Item_0,Cargo_9,69,2022-07-01 00:04:49
57,Item_1,Cargo_8,32,2022-07-01 00:04:57
58,Item_2,Cargo_4,89,2022-07-01 00:05:03
59,Item_4,Cargo_6,27,2022-07-01 00:05:06
60,Item_2,Cargo_5,89,2022-07-01 00:05:13
61,Item_5,Cargo_0,59,2022-07-01 00:05:20
62,Item_1,Cargo_7,32,2022-07-01 00:05:26
63,Item_1,Cargo_6,32,2022-07-01 00:05:31
64,Item_2,Cargo_5,89,2022-07-01 00:05:36
65,Item_3,Cargo_9,53,2022-07-01 00:05:37
66,Item_4,Cargo_3,27,2022-07-01 00:05:40
67,Item_2,Cargo_4,89,2022-07-01 00:05:41
68,Item_5,Cargo_9,59,2022-07-01 00:05:43
69,Item_2,Cargo_5,89,2022-07-01 00:05:51
70,Item_5,Cargo_4,59,2022-07-01 00:05:53
71,Item_2,Cargo_5,89,2022-07-01 00:05:54
72,Item_4,Cargo_3,27,2022-07-01 00:05:55
73,Item_5,Cargo_0,59,2022-07-01 00:05:58
74,Item_2,Cargo_6,89,2022-07-01 00:06:04
75,Item_2,Cargo_4,89,2022-07-01 00:06:10
76,Item_2,Cargo_5,89,2022-07-01 00:06:17
77,Item_2,Cargo_8,89,2022-07-01 00:06:24
78,Item_4,Cargo_6,27,2022-07-01 00:06:25
79,Item_2,Cargo_6,89,2022-07-01 00:06:30
80,Item_5,Cargo_9,59,2022-07-01 00:06:33
81,Item_3,Cargo_9,53,2022-07-01 00:06:43
82,Item_2,Cargo_8,89,2022-07-01 00:06:48
83,Item_5,Cargo_4,59,2022-07-01 00:06:53
84,Item_1,Cargo_1,32,2022-07-01 00:06:55
85,Item_3,Cargo_9,53,2022-07-01 00:07:03
86,Item_2,Cargo_4,89,2022-07-01 00:07:04
87,Item_3,Cargo_9,53,2022-07-01 00:07:06
88,Item_2,Cargo_4,89,2022-07-01 00:07:08
89,Item_2,Cargo_4,89,2022-07-01 00:07:10
90,Item_4,Cargo_3,27,2022-07-01 00:07:15
91,Item_2,Cargo_4,89,2022-07-01 00:07:25
92,Item_0,Cargo_2,69,2022-07-01 00:07:27
93,Item_4,Cargo_3,27,2022-07-01 00:07:35
94,Item_5,Cargo_0,59,2022-07-01 00:07:45
95,Item_5,Cargo_8,59,2022-07-01 00:07:50
96,Item_2,Cargo_6,89,2022-07-01 00:07:51
97,Item_5,Cargo_2,59,2022-07-01 00:07:53
98,Item_5,Cargo_1,59,2022-07-01 00:07:57
99,Item_1,Cargo_1,32,2022-07-01 00:08:01
