Top_Left,Top_Middle,Top_Right,Middle_Left,Center,Middle_Right,Bottom_Left,Bottom_Middle,Bottom_Right,X_Wins
blank,blank,x,x,x,blank,o,o,o,no
blank,blank,x,x,x,o,x,o,o,yes
blank,o,blank,o,o,x,x,x,x,yes
blank,o,blank,o,x,o,x,x,x,yes
blank,o,blank,x,o,x,blank,o,x,no
blank,o,blank,x,x,x,blank,o,blank,yes
blank,o,blank,x,x,x,o,o,x,yes
blank,o,blank,x,x,x,o,x,o,yes
blank,o,o,o,blank,x,x,x,x,yes
blank,o,o,o,x,blank,x,x,x,yes
blank,o,o,x,blank,o,x,x,x,yes
blank,o,o,x,o,blank,x,x,x,yes
blank,o,o,x,o,x,o,x,x,no
blank,o,o,x,o,x,x,o,x,no
blank,o,o,x,x,o,x,x,o,no
blank,o,o,x,x,x,blank,o,x,yes
blank,o,o,x,x,x,blank,x,o,yes
blank,o,o,x,x,x,o,blank,x,yes
blank,o,o,x,x,x,o,x,blank,yes
blank,o,o,x,x,x,x,blank,o,yes
blank,o,o,x,x,x,x,o,blank,yes
blank,o,x,o,blank,o,x,x,x,yes
blank,o,x,o,o,blank,x,x,x,yes
blank,o,x,o,x,blank,x,o,x,yes
blank,o,x,o,x,blank,x,x,o,yes
blank,o,x,o,x,o,x,x,blank,yes
blank,o,x,x,blank,x,o,o,x,yes
blank,o,x,x,o,blank,blank,o,x,no
blank,o,x,x,o,o,x,o,x,no
blank,o,x,x,o,x,o,blank,x,yes
blank,o,x,x,o,x,x,o,o,no
blank,o,x,x,x,blank,x,o,o,yes
blank,o,x,x,x,o,x,blank,o,yes
blank,o,x,x,x,x,o,blank,o,yes
blank,x,blank,x,blank,x,o,o,o,no
blank,x,o,x,blank,o,x,blank,o,no
blank,x,o,x,o,blank,o,blank,x,no
blank,x,o,x,o,o,o,x,x,no
blank,x,o,x,o,o,x,x,o,no
blank,x,o,x,o,x,o,x,o,no
blank,x,o,x,x,blank,o,x,o,yes
blank,x,o,x,x,o,x,o,o,no
o,blank,o,blank,blank,blank,x,x,x,yes
o,blank,o,blank,o,x,x,x,x,yes
o,blank,o,blank,x,o,x,x,x,yes
o,blank,o,o,blank,x,x,x,x,yes
o,blank,o,o,x,x,o,x,x,no
o,blank,o,x,o,x,o,x,x,no
o,blank,o,x,x,x,o,blank,x,yes
o,blank,x,blank,o,blank,x,x,o,no
o,blank,x,blank,o,o,x,x,x,yes
o,blank,x,blank,x,blank,x,blank,o,yes
o,blank,x,blank,x,o,x,o,x,yes
o,blank,x,blank,x,o,x,x,o,yes
o,blank,x,o,blank,blank,o,x,x,no
o,blank,x,o,blank,o,x,x,x,yes
o,blank,x,o,blank,x,x,o,x,yes
o,blank,x,o,o,blank,x,x,x,yes
o,blank,x,o,o,x,x,blank,x,yes
o,blank,x,o,o,x,x,x,o,no
o,blank,x,o,x,blank,o,blank,x,no
o,blank,x,o,x,blank,x,o,x,yes
o,blank,x,o,x,blank,x,x,o,yes
o,blank,x,o,x,o,o,x,x,no
o,blank,x,o,x,o,x,blank,x,yes
o,blank,x,o,x,x,o,x,o,no
o,blank,x,o,x,x,x,blank,o,yes
o,blank,x,x,blank,x,o,o,x,yes
o,blank,x,x,o,o,x,x,o,no
o,blank,x,x,o,x,o,blank,x,yes
o,blank,x,x,o,x,o,x,o,no
o,blank,x,x,o,x,x,o,o,no
o,o,o,o,x,x,x,blank,x,no
o,o,o,x,blank,x,o,x,x,no
o,o,o,x,blank,x,x,o,x,no
o,o,o,x,o,x,x,blank,x,no
o,o,x,o,blank,blank,x,x,x,yes
o,o,x,o,o,x,x,x,x,yes
o,o,x,o,x,blank,x,blank,x,yes
o,o,x,o,x,o,x,x,x,yes
o,o,x,o,x,x,x,x,o,yes
o,o,x,x,o,blank,x,o,x,no
o,o,x,x,o,o,x,x,x,yes
o,o,x,x,o,x,o,x,x,yes
o,o,x,x,x,o,o,x,x,no
o,o,x,x,x,o,x,o,x,yes
o,o,x,x,x,o,x,x,o,yes
o,o,x,x,x,x,o,o,x,yes
o,o,x,x,x,x,o,x,o,yes
o,o,x,x,x,x,x,o,o,yes
o,x,o,x,o,x,x,o,x,no
o,x,o,x,x,x,o,x,o,yes
o,x,x,x,o,o,x,o,x,no
x,blank,x,o,o,o,x,o,x,no
x,o,x,o,x,o,x,o,x,yes
